İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Systemsprenger – Oyunbozan,125 Dakika,2019,Almanya,Nora Fingscheidt,Dram,System Crasher
Seules Les Bêtes,117 Dakika,2019,Almanya  Fransa,Dominik Moll,Dram  Gerilim  Gizem  Suç,Only the Animals
The Unforgivable – Affedilemez,112 Dakika,2021,ABD  Almanya  Birleşik Krallık,Nora Fingscheidt,Dram  Suç,The Unforgivable
Quo Vadis Aida? – Nereye Gidiyorsun Aida?,101 Dakika,2020,Almanya  Avusturya  Bosna Hersek  Fransa  Hollanda  Norveç  Polonya  Romanya  Türkiye,Jasmila Žbanić,Dram  Savaş  Tarih,Quo Vadis Aida?
Yanco,85 Dakika,1961,Meksika,Servando González,Dram,Yanco
The Collini Case,123 Dakika,2019,Almanya,Marco Kreuzpaintner,Dram  Gerilim  Savaş  Suç,The Collini Case
Le Couteau Sous La Gorge,80 Dakika,1986,Fransa,Claude Mulot,Korku  Suç,Knife Under the Throat
Die Englische Heirat – İngiliz Evliliği,87 Dakika,1934,Almanya,Reinhold Schünzel,Komedi,The English Marriage
Charlotte,92 Dakika,2021,Belçika  Fransa  Kanada,Éric Warin,Animasyon  Biyografi,Charlotte
Lowlife – Sefil Hayat,96 Dakika,2017,ABD,Ryan Prows,Dram  Gerilim  Komedi  Korku  Suç,Lowlife
Amanat,120 Dakika,2022,Rusya,Anton Sivers,Biyografi  Dram  Savaş  Tarih,Amanat
Ali & Ava – Ali ve Ava,95 Dakika,2021,Birleşik Krallık,Clio Barnard,Dram  Romantik,Ali & Ava
The Transformers: The Movie – Transformers: Sinema Filmi,84 Dakika,1986,ABD  Japonya,Nelson Shin,Aile  Aksiyon  Animasyon  Bilim Kurgu  Macera,The Transformers  The Movie
Carter,132 Dakika,2022,Güney Kore,Jung Byung-gil,Aksiyon  Gerilim,Carter
The Animatrix,100 Dakika,2003,ABD  Japonya,Andrew R. Jones,Aksiyon  Animasyon  Bilim Kurgu,The Animatrix
Buba,94 Dakika,2022,Almanya,Arne Feldhusen,Dram  Komedi,Buba
This Much I Know to Be True,105 Dakika,2022,Birleşik Krallık,Andrew Dominik,Belgesel  Müzik,This Much I Know to Be True
After Love – Aşktan Sonra,89 Dakika,2020,Birleşik Krallık,Aleem Khan,Dram,After Love
Notre Dame de Paris – Live Arena di Verona,130 Dakika,2002,İtalya,Gilles Maheu,Dram  Müzik  Romantik,Notre Dame de Paris - Live Arena di Verona
Fruits Basket: Prelude,88 Dakika,2022,Japonya,Yoshihide Ibata,Animasyon  Dram  Romantik,Fruits Basket  Prelude
The King of Staten Island – Staten Adası’nın Kralı,136 Dakika,2020,ABD,Judd Apatow,Dram  Komedi,The King of Staten Island
Cowboy Bebop: Tengoku no Tobira,115 Dakika,2001,ABD  Japonya,Shinichiro Watanabe,Aksiyon  Animasyon  Bilim Kurgu  Dram  Suç,Cowboy Bebop  The Movie
The World’s Fastest Indian – Efsane Adam,127 Dakika,2005,ABD  İsviçre  Japonya  Yeni Zelanda,Roger Donaldson,Biyografi  Dram  Spor,The World's Fastest Indian
Kokuriko-zaka Kara – Tepedeki Ev,91 Dakika,2011,Japonya,Goro Miyazaki,Aile  Animasyon  Dram  Komedi  Romantik,From Up on Poppy Hill
Tenki No Ko,112 Dakika,2019,Japonya,Makoto Shinkai,Animasyon  Dram  Fantastik  Romantik,Weathering With You
Kiga Kaikyô,183 Dakika,1965,Japonya,Tomu Uchida,Dram  Gizem  Suç,A Fugitive from the Past
Muppets Most Wanted – Muppets Aranıyor,107 Dakika,2014,ABD  Birleşik Krallık,James Bobin,Aile  Gizem  Komedi  Macera  Müzik  Suç,Muppets Most Wanted
The Muppets – Muppetlar,120 Dakika,2011,ABD,James Bobin,Aile  Komedi  Macera  Müzik,The Muppets
Muppets from Space – Uzaylı Kuklalar,87 Dakika,1999,ABD,Tim Hill,Aile  Bilim Kurgu  Fantastik  Komedi  Macera,Muppets from Space
Muppet Treasure Island – Muppetlar Define Adası’nda,99 Dakika,1996,ABD  Birleşik Krallık,Brian Henson,Aile  Aksiyon  Komedi  Macera  Müzik  Romantik,Muppet Treasure Island
The Muppet Christmas Carol – Muppetlar’dan Noel Şarkısı,85 Dakika,1992,ABD  Birleşik Krallık,Brian Henson,Aile  Dram  Fantastik  Komedi  Müzik,The Muppet Christmas Carol
The Muppets Take Manhattan – Muppetlar New York’ta,94 Dakika,1984,ABD  Birleşik Krallık,Frank Oz,Aile  Dram  Komedi  Macera  Müzik  Romantik,The Muppets Take Manhattan
The Great Muppet Caper – Muppetlar’dan Büyük Şamata,97 Dakika,1981,ABD  Birleşik Krallık,Jim Henson,Aile  Gizem  Komedi  Macera  Müzik  Suç,The Great Muppet Caper
The Muppet Movie – Muppet Filmi,95 Dakika,1979,ABD,James Frawley,Aile  Komedi  Macera  Müzik,The Muppet Movie
Gremlins 2: The New Batch – Gremlinler 2,106 Dakika,1990,ABD,Joe Dante,Fantastik  Komedi  Korku,Gremlins 2
Gremlins – Gremlinler,106 Dakika,1984,ABD,Joe Dante,Fantastik  Komedi  Korku,Gremlins
Bruiser – Ölümün Maskesi,99 Dakika,2000,ABD  Fransa  Kanada,George A. Romero,Gizem  Korku,Bruiser
Seven Brides for Seven Brothers – Yedi Kardeşe Yedi Gelin,102 Dakika,1954,ABD,Stanley Donen,Dram  Komedi  Müzik  Romantik  Western,Seven Brides for Seven Brothers
Abandoned,102 Dakika,2022,ABD,Spencer Squire,Korku,Abandoned
One Hundred Men and a Girl,84 Dakika,1937,ABD,Henry Koster,Dram  Komedi  Müzik,One Hundred Men and a Girl
Miss Kicki,88 Dakika,2009,İsveç,Håkon Liu,Dram,Miss Kicki
The Devil’s Holiday,80 Dakika,1930,ABD,Edmund Goulding,Dram  Romantik,The Devil's Holiday
Negative Space – Negatif Alan,5 Dakika,2017,Fransa,Max Porter,Animasyon  Dram  Kısa Film,Negative Space
Faya Dayi – Zordur Gitmek,120 Dakika,2021,ABD  Etiyopya  Katar,Jessica Beshir,Belgesel  Dram,Faya Dayi
An Adventure in Space and Time,82 Dakika,2013,Birleşik Krallık,Terry McDonough,Biyografi  Dram  Tarih,An Adventure in Space and Time
Geboren in Absurdistan – Doğum Yeri Absürdistan,116 Dakika,1999,Avusturya,Houchang Allahyari,Dram  Komedi,Born in Absurdistan
Gritt,118 Dakika,2021,Norveç,Itonje Søimer Guttormsen,Dram,Gritt
Vai Avanti Tu Che Mi Vien Da Ridere,92 Dakika,1982,İtalya,Giorgio Capitani,Gerilim  Komedi,Vai Avanti Tu Che Mi Vien Da Ridere
Shi Cheng,95 Dakika,2014,Tayvan,Joe Chien,Aksiyon  Korku,Zombie Fight Club
Honja Saneun Saramdeul – Yalnızlar,91 Dakika,2021,Güney Kore,Hong Sung-eun,Dram,Aloners
Libido,90 Dakika,1965,İtalya,Ernesto Gastaldi,Dram  Gerilim  Suç,Libido
